Loading conda
k_ma: 0.0, A: 0.21289999783039093, B: 0.9865000247955322, trace: -1.1109384298324585, determinant: -0.8037021160125732, classification: unstable saddle node, stable: False
k_ma: 0.30000001192092896, A: 0.025599999353289604, B: 0.9855999946594238, trace: -3.0461957454681396, determinant: 2.3200716972351074, classification: stable spiral node sink, stable: True
k_ma: 0.30000001192092896, A: 0.4526999890804291, B: 0.987500011920929, trace: -1.5328623056411743, determinant: -0.36768805980682373, classification: unstable saddle node, stable: False
k_ma: 0.30000001192092896, A: 0.7160000205039978, B: 0.9883999824523926, trace: -2.2243919372558594, determinant: 0.632891833782196, classification: stable node sink, stable: True
k_ma: 0.3100000023841858, A: 0.025499999523162842, B: 0.9855999946594238, trace: -3.0553014278411865, determinant: 2.3337810039520264, classification: stable spiral node sink, stable: True
k_ma: 0.3100000023841858, A: 0.4699999988079071, B: 0.9876000285148621, trace: -1.5682591199874878, determinant: -0.325157105922699, classification: unstable saddle node, stable: False
k_ma: 0.3100000023841858, A: 0.6972000002861023, B: 0.9883999824523926, trace: -2.1540870666503906, determinant: 0.5158218145370483, classification: stable node sink, stable: True
k_ma: 0.3199999928474426, A: 0.02539999969303608, B: 0.9855999946594238, trace: -3.064319372177124, determinant: 2.3473570346832275, classification: stable node sink, stable: True
k_ma: 0.3199999928474426, A: 0.49079999327659607, B: 0.9876000285148621, trace: -1.6105108261108398, determinant: -0.27166593074798584, classification: unstable saddle node, stable: False
k_ma: 0.3199999928474426, A: 0.6751000285148621, B: 0.9883000254631042, trace: -2.0779151916503906, determinant: 0.39349472522735596, classification: stable node sink, stable: True
k_ma: 0.33000001311302185, A: 0.025299999862909317, B: 0.9855999946594238, trace: -3.0732524394989014, determinant: 2.360804557800293, classification: stable node sink, stable: True
k_ma: 0.33000001311302185, A: 0.5182999968528748, B: 0.9876999855041504, trace: -1.6691834926605225, determinant: -0.1967441439628601, classification: unstable saddle node, stable: False
k_ma: 0.33000001311302185, A: 0.6462000012397766, B: 0.9882000088691711, trace: -1.988204836845398, determinant: 0.25371676683425903, classification: stable node sink, stable: True
k_ma: 0.34, A: 0.025200000032782555, B: 0.9855999946594238, trace: -3.0821025371551514, determinant: 2.3741259574890137, classification: stable node sink, stable: True
k_ma: 0.3499999940395355, A: 0.025100000202655792, B: 0.9855999946594238, trace: -3.090872049331665, determinant: 2.3873252868652344, classification: stable node sink, stable: True
k_ma: 0.36000001430511475, A: 0.02500000037252903, B: 0.9855999946594238, trace: -3.0995631217956543, determinant: 2.4004054069519043, classification: stable node sink, stable: True
k_ma: 0.3700000047683716, A: 0.024900000542402267, B: 0.9855999946594238, trace: -3.1081769466400146, determinant: 2.4133687019348145, classification: stable node sink, stable: True
k_ma: 0.3799999952316284, A: 0.024900000542402267, B: 0.9855999946594238, trace: -3.113496780395508, determinant: 2.4213786125183105, classification: stable node sink, stable: True
k_ma: 0.38999998569488525, A: 0.024800000712275505, B: 0.9855999946594238, trace: -3.1219563484191895, determinant: 2.434108257293701, classification: stable node sink, stable: True
k_ma: 0.4000000059604645, A: 0.024700000882148743, B: 0.9855999946594238, trace: -3.130345106124878, determinant: 2.446730136871338, classification: stable node sink, stable: True
k_ma: 0.4099999964237213, A: 0.02459999918937683, B: 0.9855999946594238, trace: -3.1386642456054688, determinant: 2.459246873855591, classification: stable node sink, stable: True
k_ma: 0.42, A: 0.02449999935925007, B: 0.9855999946594238, trace: -3.146915912628174, determinant: 2.471660852432251, classification: stable node sink, stable: True
k_ma: 0.4300000071525574, A: 0.02449999935925007, B: 0.9855999946594238, trace: -3.151854991912842, determinant: 2.4790961742401123, classification: stable node sink, stable: True
k_ma: 0.4399999976158142, A: 0.024399999529123306, B: 0.9855999946594238, trace: -3.1599698066711426, determinant: 2.491302967071533, classification: stable node sink, stable: True
k_ma: 0.44999998807907104, A: 0.024299999698996544, B: 0.9855999946594238, trace: -3.1680216789245605, determinant: 2.5034141540527344, classification: stable node sink, stable: True
k_ma: 0.46000000834465027, A: 0.024299999698996544, B: 0.9855999946594238, trace: -3.172750949859619, determinant: 2.510533332824707, classification: stable node sink, stable: True
k_ma: 0.4699999988079071, A: 0.02419999986886978, B: 0.9855999946594238, trace: -3.1806752681732178, determinant: 2.522451639175415, classification: stable node sink, stable: True
k_ma: 0.47999998927116394, A: 0.02410000003874302, B: 0.9855999946594238, trace: -3.188540458679199, determinant: 2.534280300140381, classification: stable node sink, stable: True
k_ma: 0.49, A: 0.02410000003874302, B: 0.9855999946594238, trace: -3.1930742263793945, determinant: 2.541104555130005, classification: stable node sink, stable: True
k_ma: 0.5, A: 0.024000000208616257, B: 0.9855999946594238, trace: -3.2008204460144043, determinant: 2.55275297164917, classification: stable node sink, stable: True
k_ma: 0.5099999904632568, A: 0.023900000378489494, B: 0.9855999946594238, trace: -3.208512783050537, determinant: 2.564319133758545, classification: stable node sink, stable: True
k_ma: 0.5199999809265137, A: 0.023900000378489494, B: 0.9855999946594238, trace: -3.212862014770508, determinant: 2.5708653926849365, classification: stable node sink, stable: True
k_ma: 0.5299999713897705, A: 0.023800000548362732, B: 0.9855999946594238, trace: -3.220442771911621, determinant: 2.5822627544403076, classification: stable node sink, stable: True
k_ma: 0.5400000214576721, A: 0.023800000548362732, B: 0.9855999946594238, trace: -3.2246756553649902, determinant: 2.5886335372924805, classification: stable node sink, stable: True
k_ma: 0.550000011920929, A: 0.02370000071823597, B: 0.9855999946594238, trace: -3.232149600982666, determinant: 2.5998690128326416, classification: stable node sink, stable: True
k_ma: 0.5600000023841858, A: 0.02370000071823597, B: 0.9855999946594238, trace: -3.2362711429595947, determinant: 2.606072187423706, classification: stable node sink, stable: True
k_ma: 0.5699999928474426, A: 0.023600000888109207, B: 0.9855999946594238, trace: -3.2436423301696777, determinant: 2.6171517372131348, classification: stable node sink, stable: True
k_ma: 0.5799999833106995, A: 0.023499999195337296, B: 0.9855999946594238, trace: -3.250967502593994, determinant: 2.628161907196045, classification: stable node sink, stable: True
k_ma: 0.5899999737739563, A: 0.023499999195337296, B: 0.9855999946594238, trace: -3.2549290657043457, determinant: 2.6341240406036377, classification: stable node sink, stable: True
k_ma: 0.6000000238418579, A: 0.023399999365210533, B: 0.9855999946594238, trace: -3.2621593475341797, determinant: 2.6449902057647705, classification: stable node sink, stable: True
k_ma: 0.6100000143051147, A: 0.023399999365210533, B: 0.9855999946594238, trace: -3.266019821166992, determinant: 2.6507997512817383, classification: stable node sink, stable: True
k_ma: 0.6200000047683716, A: 0.02329999953508377, B: 0.9855999946594238, trace: -3.2731575965881348, determinant: 2.661525249481201, classification: stable node sink, stable: True
k_ma: 0.6299999952316284, A: 0.02329999953508377, B: 0.9855999946594238, trace: -3.276920795440674, determinant: 2.6671881675720215, classification: stable node sink, stable: True
k_ma: 0.6399999856948853, A: 0.02319999970495701, B: 0.9855999946594238, trace: -3.283970355987549, determinant: 2.6777806282043457, classification: stable node sink, stable: True
k_ma: 0.6499999761581421, A: 0.02319999970495701, B: 0.9855999946594238, trace: -3.287639617919922, determinant: 2.683302402496338, classification: stable node sink, stable: True
k_ma: 0.6600000262260437, A: 0.023099999874830246, B: 0.9855999946594238, trace: -3.294605255126953, determinant: 2.693767547607422, classification: stable node sink, stable: True
k_ma: 0.6700000166893005, A: 0.023099999874830246, B: 0.9855999946594238, trace: -3.298184394836426, determinant: 2.699153184890747, classification: stable node sink, stable: True
k_ma: 0.6800000071525574, A: 0.023099999874830246, B: 0.9855999946594238, trace: -3.301720142364502, determinant: 2.7044732570648193, classification: stable node sink, stable: True
k_ma: 0.6899999976158142, A: 0.023000000044703484, B: 0.9855999946594238, trace: -3.308560848236084, determinant: 2.714749336242676, classification: stable node sink, stable: True
k_ma: 0.699999988079071, A: 0.023000000044703484, B: 0.9855999946594238, trace: -3.3120107650756836, determinant: 2.719940185546875, classification: stable node sink, stable: True
k_ma: 0.7099999785423279, A: 0.02290000021457672, B: 0.9855999946594238, trace: -3.3187761306762695, determinant: 2.730102300643921, classification: stable node sink, stable: True
k_ma: 0.7200000286102295, A: 0.02290000021457672, B: 0.9855999946594238, trace: -3.322144031524658, determinant: 2.7351696491241455, classification: stable node sink, stable: True
k_ma: 0.7300000190734863, A: 0.02280000038444996, B: 0.9855999946594238, trace: -3.3288357257843018, determinant: 2.7452194690704346, classification: stable node sink, stable: True
k_ma: 0.7400000095367432, A: 0.02280000038444996, B: 0.9855999946594238, trace: -3.3321244716644287, determinant: 2.7501676082611084, classification: stable node sink, stable: True
k_ma: 0.75, A: 0.02280000038444996, B: 0.9855999946594238, trace: -3.335374355316162, determinant: 2.7550573348999023, classification: stable node sink, stable: True
k_ma: 0.7599999904632568, A: 0.022700000554323196, B: 0.9855999946594238, trace: -3.3419580459594727, determinant: 2.764944076538086, classification: stable node sink, stable: True
k_ma: 0.7699999809265137, A: 0.022700000554323196, B: 0.9855999946594238, trace: -3.345132827758789, determinant: 2.7697203159332275, classification: stable node sink, stable: True
k_ma: 0.7799999713897705, A: 0.022600000724196434, B: 0.9855999946594238, trace: -3.3516504764556885, determinant: 2.7795066833496094, classification: stable node sink, stable: True
k_ma: 0.7900000214576721, A: 0.022600000724196434, B: 0.9855999946594238, trace: -3.354752540588379, determinant: 2.7841734886169434, classification: stable node sink, stable: True
k_ma: 0.800000011920929, A: 0.022600000724196434, B: 0.9855999946594238, trace: -3.3578193187713623, determinant: 2.788787364959717, classification: stable node sink, stable: True
k_ma: 0.8100000023841858, A: 0.02250000089406967, B: 0.9855999946594238, trace: -3.3642377853393555, determinant: 2.7984237670898438, classification: stable node sink, stable: True
k_ma: 0.8199999928474426, A: 0.02250000089406967, B: 0.9855999946594238, trace: -3.3672356605529785, determinant: 2.80293345451355, classification: stable node sink, stable: True
k_ma: 0.8299999833106995, A: 0.02250000089406967, B: 0.9855999946594238, trace: -3.370199680328369, determinant: 2.8073925971984863, classification: stable node sink, stable: True
k_ma: 0.8399999737739563, A: 0.02239999920129776, B: 0.9855999946594238, trace: -3.3765265941619873, determinant: 2.816890239715576, classification: stable node sink, stable: True
k_ma: 0.8500000238418579, A: 0.02239999920129776, B: 0.9855999946594238, trace: -3.379425048828125, determinant: 2.8212506771087646, classification: stable node sink, stable: True
k_ma: 0.8600000143051147, A: 0.02239999920129776, B: 0.9855999946594238, trace: -3.382291793823242, determinant: 2.8255629539489746, classification: stable node sink, stable: True
k_ma: 0.8700000047683716, A: 0.022299999371170998, B: 0.9855999946594238, trace: -3.3885297775268555, determinant: 2.834925651550293, classification: stable node sink, stable: True
k_ma: 0.8799999952316284, A: 0.022299999371170998, B: 0.9855999946594238, trace: -3.391334056854248, determinant: 2.839143991470337, classification: stable node sink, stable: True
k_ma: 0.8899999856948853, A: 0.022299999371170998, B: 0.9855999946594238, trace: -3.3941078186035156, determinant: 2.8433170318603516, classification: stable node sink, stable: True
k_ma: 0.8999999761581421, A: 0.022199999541044235, B: 0.9855999946594238, trace: -3.4002630710601807, determinant: 2.8525543212890625, classification: stable node sink, stable: True
k_ma: 0.9100000262260437, A: 0.022199999541044235, B: 0.9855999946594238, trace: -3.402977705001831, determinant: 2.856637716293335, classification: stable node sink, stable: True
k_ma: 0.9200000166893005, A: 0.022199999541044235, B: 0.9855999946594238, trace: -3.40566349029541, determinant: 2.86067795753479, classification: stable node sink, stable: True
k_ma: 0.9300000071525574, A: 0.022099999710917473, B: 0.9855999946594238, trace: -3.4117398262023926, determinant: 2.869795083999634, classification: stable node sink, stable: True
k_ma: 0.9399999976158142, A: 0.022099999710917473, B: 0.9855999946594238, trace: -3.4143686294555664, determinant: 2.8737497329711914, classification: stable node sink, stable: True
k_ma: 0.949999988079071, A: 0.022099999710917473, B: 0.9855999946594238, trace: -3.4169702529907227, determinant: 2.8776631355285645, classification: stable node sink, stable: True
k_ma: 0.9599999785423279, A: 0.02199999988079071, B: 0.9855999946594238, trace: -3.4229719638824463, determinant: 2.886667490005493, classification: stable node sink, stable: True
k_ma: 0.9700000286102295, A: 0.02199999988079071, B: 0.9855999946594238, trace: -3.4255197048187256, determinant: 2.8904998302459717, classification: stable node sink, stable: True
k_ma: 0.9800000190734863, A: 0.02199999988079071, B: 0.9855999946594238, trace: -3.4280412197113037, determinant: 2.8942923545837402, classification: stable node sink, stable: True
k_ma: 0.9900000095367432, A: 0.02199999988079071, B: 0.9855999946594238, trace: -3.4305367469787598, determinant: 2.8980460166931152, classification: stable node sink, stable: True
k_ma: 0.9900000095367432, A: 0.021900000050663948, B: 0.9855999946594238, trace: -3.433971643447876, determinant: 2.903188705444336, classification: stable node sink, stable: True
