Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.11999999731779099, A: 0.7620999813079834, B: 0.9886000156402588, trace: -2.4115021228790283, determinant: 0.9496738910675049, classification: stable node sink, stable: True
I: 0.12999999523162842, A: 0.00860000029206276, B: 0.9854999780654907, trace: -2.924835205078125, determinant: 2.137661933898926, classification: stable node sink, stable: True
I: 0.12999999523162842, A: 0.351500004529953, B: 0.9871000051498413, trace: -1.424048662185669, determinant: -0.44488614797592163, classification: unstable saddle node, stable: False
I: 0.12999999523162842, A: 0.7630000114440918, B: 0.9886000156402588, trace: -2.417112112045288, determinant: 0.9597616791725159, classification: stable node sink, stable: True
I: 0.14000000059604645, A: 0.00930000003427267, B: 0.9854999780654907, trace: -2.901796817779541, determinant: 2.103165864944458, classification: stable node sink, stable: True
I: 0.14000000059604645, A: 0.3483000099658966, B: 0.9871000051498413, trace: -1.421881914138794, determinant: -0.4453013837337494, classification: unstable saddle node, stable: False
I: 0.14000000059604645, A: 0.7638999819755554, B: 0.9886000156402588, trace: -2.422743082046509, determinant: 0.969894289970398, classification: stable node sink, stable: True
I: 0.15000000596046448, A: 0.010099999606609344, B: 0.9854999780654907, trace: -2.8759212493896484, determinant: 2.064401865005493, classification: stable node sink, stable: True
I: 0.15000000596046448, A: 0.3449999988079071, B: 0.9871000051498413, trace: -1.4196898937225342, determinant: -0.4456566274166107, classification: unstable saddle node, stable: False
I: 0.15000000596046448, A: 0.7646999955177307, B: 0.9886000156402588, trace: -2.4279232025146484, determinant: 0.9792404174804688, classification: stable node sink, stable: True
I: 0.1599999964237213, A: 0.7656000256538391, B: 0.9886000156402588, trace: -2.4335947036743164, determinant: 0.9894606471061707, classification: stable node sink, stable: True
I: 0.1599999964237213, A: 0.01080000028014183, B: 0.9854999780654907, trace: -2.85378360748291, determinant: 2.0312185287475586, classification: stable node sink, stable: True
I: 0.1599999964237213, A: 0.3418000042438507, B: 0.9869999885559082, trace: -1.4167014360427856, determinant: -0.4456225037574768, classification: unstable saddle node, stable: False
I: 0.17000000178813934, A: 0.3386000096797943, B: 0.9869999885559082, trace: -1.4147238731384277, determinant: -0.44571584463119507, classification: unstable saddle node, stable: False
I: 0.17000000178813934, A: 0.011599999852478504, B: 0.9854999780654907, trace: -2.8289127349853516, determinant: 1.9939180612564087, classification: stable node sink, stable: True
I: 0.17000000178813934, A: 0.7663999795913696, B: 0.9886000156402588, trace: -2.4388115406036377, determinant: 0.9988855123519897, classification: stable node sink, stable: True
I: 0.18000000715255737, A: 0.3353999853134155, B: 0.9869999885559082, trace: -1.4128103256225586, determinant: -0.44570061564445496, classification: unstable saddle node, stable: False
I: 0.18000000715255737, A: 0.012400000356137753, B: 0.9854999780654907, trace: -2.8045573234558105, determinant: 1.9573688507080078, classification: stable node sink, stable: True
I: 0.18000000715255737, A: 0.7671999931335449, B: 0.9886000156402588, trace: -2.4440460205078125, determinant: 1.0083484649658203, classification: stable node sink, stable: True
I: 0.1899999976158142, A: 0.3321000039577484, B: 0.9869999885559082, trace: -1.4108835458755493, determinant: -0.4456061124801636, classification: unstable saddle node, stable: False
I: 0.1899999976158142, A: 0.013199999928474426, B: 0.9854999780654907, trace: -2.7807042598724365, determinant: 1.9215521812438965, classification: stable node sink, stable: True
I: 0.1899999976158142, A: 0.7680000066757202, B: 0.9886000156402588, trace: -2.449298143386841, determinant: 1.0178492069244385, classification: stable node sink, stable: True
I: 0.20000000298023224, A: 0.328900009393692, B: 0.9869999885559082, trace: -1.409103512763977, determinant: -0.4453655779361725, classification: unstable saddle node, stable: False
I: 0.20000000298023224, A: 0.014000000432133675, B: 0.9855999946594238, trace: -2.7583978176116943, determinant: 1.8878229856491089, classification: stable node sink, stable: True
I: 0.20000000298023224, A: 0.7688000202178955, B: 0.9886000156402588, trace: -2.4545679092407227, determinant: 1.027388095855713, classification: stable node sink, stable: True
I: 0.20999999344348907, A: 0.3255999982357025, B: 0.9869999885559082, trace: -1.4073169231414795, determinant: -0.4450353682041168, classification: unstable saddle node, stable: False
I: 0.20999999344348907, A: 0.01489999983459711, B: 0.9855999946594238, trace: -2.732621192932129, determinant: 1.849046230316162, classification: stable node sink, stable: True
I: 0.20999999344348907, A: 0.769599974155426, B: 0.9886000156402588, trace: -2.459855079650879, determinant: 1.0369644165039062, classification: stable node sink, stable: True
I: 0.2199999988079071, A: 0.3224000036716461, B: 0.9869999885559082, trace: -1.405674695968628, determinant: -0.44456377625465393, classification: unstable saddle node, stable: False
I: 0.2199999988079071, A: 0.015699999406933784, B: 0.9855999946594238, trace: -2.710252523422241, determinant: 1.8153735399246216, classification: stable node sink, stable: True
I: 0.2199999988079071, A: 0.7703999876976013, B: 0.9886000156402588, trace: -2.465160369873047, determinant: 1.0465798377990723, classification: stable node sink, stable: True
I: 0.23000000417232513, A: 0.3190999925136566, B: 0.9869999885559082, trace: -1.4040329456329346, determinant: -0.44399094581604004, classification: unstable saddle node, stable: False
I: 0.23000000417232513, A: 0.016599999740719795, B: 0.9855999946594238, trace: -2.685568332672119, determinant: 1.7781907320022583, classification: stable node sink, stable: True
I: 0.23000000417232513, A: 0.7712000012397766, B: 0.9886000156402588, trace: -2.4704837799072266, determinant: 1.0562336444854736, classification: stable node sink, stable: True
I: 0.23999999463558197, A: 0.3158000111579895, B: 0.9868999719619751, trace: -1.4015226364135742, determinant: -0.4430612325668335, classification: unstable saddle node, stable: False
I: 0.23999999463558197, A: 0.017500000074505806, B: 0.9855999946594238, trace: -2.6614389419555664, determinant: 1.7418172359466553, classification: stable node sink, stable: True
I: 0.23999999463558197, A: 0.7720000147819519, B: 0.9886000156402588, trace: -2.475825309753418, determinant: 1.0659265518188477, classification: stable node sink, stable: True
I: 0.25, A: 0.3125, B: 0.9868999719619751, trace: -1.4000341892242432, determinant: -0.44223499298095703, classification: unstable saddle node, stable: False
I: 0.25, A: 0.018400000408291817, B: 0.9855999946594238, trace: -2.637848377227783, determinant: 1.706230640411377, classification: stable node sink, stable: True
I: 0.25, A: 0.7727000117301941, B: 0.9886000156402588, trace: -2.4806931018829346, determinant: 1.074784278869629, classification: stable node sink, stable: True
I: 0.25999999046325684, A: 0.3091999888420105, B: 0.9868999719619751, trace: -1.3986246585845947, determinant: -0.4412783682346344, classification: unstable saddle node, stable: False
I: 0.25999999046325684, A: 0.019300000742077827, B: 0.9855999946594238, trace: -2.6147823333740234, determinant: 1.671409249305725, classification: stable node sink, stable: True
I: 0.25999999046325684, A: 0.7735000252723694, B: 0.9886000156402588, trace: -2.4860687255859375, determinant: 1.0845507383346558, classification: stable node sink, stable: True
I: 0.27000001072883606, A: 0.3059000074863434, B: 0.9868999719619751, trace: -1.3972952365875244, determinant: -0.4401893615722656, classification: unstable saddle node, stable: False
I: 0.27000001072883606, A: 0.0203000009059906, B: 0.9855999946594238, trace: -2.589698076248169, determinant: 1.633512020111084, classification: stable node sink, stable: True
I: 0.27000001072883606, A: 0.7742000222206116, B: 0.9886000156402588, trace: -2.490967273712158, determinant: 1.0934743881225586, classification: stable node sink, stable: True
I: 0.2800000011920929, A: 0.3025999963283539, B: 0.9868999719619751, trace: -1.3960481882095337, determinant: -0.4389653205871582, classification: unstable saddle node, stable: False
I: 0.2800000011920929, A: 0.021199999377131462, B: 0.9855999946594238, trace: -2.5676918029785156, determinant: 1.6002382040023804, classification: stable node sink, stable: True
I: 0.2800000011920929, A: 0.7749000191688538, B: 0.9886000156402588, trace: -2.495880603790283, determinant: 1.1024296283721924, classification: stable node sink, stable: True
I: 0.28999999165534973, A: 0.29919999837875366, B: 0.9868999719619751, trace: -1.3948308229446411, determinant: -0.4375937283039093, classification: unstable saddle node, stable: False
I: 0.28999999165534973, A: 0.022199999541044235, B: 0.9855999946594238, trace: -2.543750762939453, determinant: 1.5640101432800293, classification: stable node sink, stable: True
I: 0.28999999165534973, A: 0.7756999731063843, B: 0.9886000156402588, trace: -2.5013067722320557, determinant: 1.1123048067092896, classification: stable node sink, stable: True
I: 0.30000001192092896, A: 0.29589998722076416, B: 0.9868999719619751, trace: -1.3937560319900513, determinant: -0.4360874593257904, classification: unstable saddle node, stable: False
I: 0.30000001192092896, A: 0.02319999970495701, B: 0.9855999946594238, trace: -2.5203850269317627, determinant: 1.5286226272583008, classification: stable node sink, stable: True
I: 0.30000001192092896, A: 0.7764000296592712, B: 0.9886000156402588, trace: -2.506251335144043, determinant: 1.1213274002075195, classification: stable node sink, stable: True
I: 0.3100000023841858, A: 0.024299999698996544, B: 0.9855999946594238, trace: -2.4952802658081055, determinant: 1.4905670881271362, classification: stable node sink, stable: True
I: 0.3100000023841858, A: 0.29249998927116394, B: 0.9868000149726868, trace: -1.3917795419692993, determinant: -0.43419525027275085, classification: unstable saddle node, stable: False
I: 0.3100000023841858, A: 0.7771000266075134, B: 0.9886000156402588, trace: -2.5112102031707764, determinant: 1.1303808689117432, classification: stable node sink, stable: True
I: 0.3199999928474426, A: 0.025299999862909317, B: 0.9855999946594238, trace: -2.4730682373046875, determinant: 1.456864833831787, classification: stable node sink, stable: True
I: 0.3199999928474426, A: 0.2890999913215637, B: 0.9868000149726868, trace: -1.3908398151397705, determinant: -0.4323728084564209, classification: unstable saddle node, stable: False
I: 0.3199999928474426, A: 0.7778000235557556, B: 0.9886000156402588, trace: -2.516183853149414, determinant: 1.139466404914856, classification: stable node sink, stable: True
I: 0.33000001311302185, A: 0.026399999856948853, B: 0.9855999946594238, trace: -2.449192762374878, determinant: 1.4206050634384155, classification: stable node sink, stable: True
I: 0.33000001311302185, A: 0.2856999933719635, B: 0.9868000149726868, trace: -1.389998197555542, determinant: -0.43039125204086304, classification: unstable saddle node, stable: False
I: 0.33000001311302185, A: 0.7785000205039978, B: 0.9886000156402588, trace: -2.521172523498535, determinant: 1.1485835313796997, classification: stable node sink, stable: True
I: 0.3400000035762787, A: 0.027499999850988388, B: 0.9855999946594238, trace: -2.425931215286255, determinant: 1.3852427005767822, classification: stable node sink, stable: True
I: 0.3400000035762787, A: 0.2822999954223633, B: 0.9868000149726868, trace: -1.3892571926116943, determinant: -0.42824727296829224, classification: unstable saddle node, stable: False
I: 0.3400000035762787, A: 0.77920001745224, B: 0.9886000156402588, trace: -2.5261757373809814, determinant: 1.157732605934143, classification: stable node sink, stable: True
I: 0.3499999940395355, A: 0.028699999675154686, B: 0.9855999946594238, trace: -2.4011895656585693, determinant: 1.3475911617279053, classification: stable node sink, stable: True
I: 0.3499999940395355, A: 0.27880001068115234, B: 0.9868000149726868, trace: -1.3885828256607056, determinant: -0.4258980453014374, classification: unstable saddle node, stable: False
I: 0.3499999940395355, A: 0.7799000144004822, B: 0.9886000156402588, trace: -2.5311942100524902, determinant: 1.1669145822525024, classification: stable node sink, stable: True
I: 0.36000001430511475, A: 0.02979999966919422, B: 0.9855999946594238, trace: -2.379150390625, determinant: 1.3140151500701904, classification: stable node sink, stable: True
I: 0.36000001430511475, A: 0.275299996137619, B: 0.9868000149726868, trace: -1.3880208730697632, determinant: -0.42336809635162354, classification: unstable saddle node, stable: False
I: 0.36000001430511475, A: 0.7804999947547913, B: 0.9886000156402588, trace: -2.5357155799865723, determinant: 1.175210952758789, classification: stable node sink, stable: True
I: 0.3700000047683716, A: 0.03099999949336052, B: 0.9855999946594238, trace: -2.3556978702545166, determinant: 1.2782484292984009, classification: stable node sink, stable: True
I: 0.3700000047683716, A: 0.2718000113964081, B: 0.9868000149726868, trace: -1.3875746726989746, determinant: -0.4206525981426239, classification: unstable saddle node, stable: False
I: 0.3700000047683716, A: 0.7811999917030334, B: 0.9886000156402588, trace: -2.540762424468994, determinant: 1.1844532489776611, classification: stable node sink, stable: True
I: 0.3799999952316284, A: 0.03229999914765358, B: 0.9855999946594238, trace: -2.330972671508789, determinant: 1.240496039390564, classification: stable node sink, stable: True
I: 0.3799999952316284, A: 0.26829999685287476, B: 0.9866999983787537, trace: -1.386307954788208, determinant: -0.4175359904766083, classification: unstable saddle node, stable: False
I: 0.3799999952316284, A: 0.7818999886512756, B: 0.9886000156402588, trace: -2.5458240509033203, determinant: 1.1937278509140015, classification: stable node sink, stable: True
I: 0.38999998569488525, A: 0.03350000083446503, B: 0.9855999946594238, trace: -2.3088290691375732, determinant: 1.2066431045532227, classification: stable node sink, stable: True
I: 0.38999998569488525, A: 0.2646999955177307, B: 0.9866999983787537, trace: -1.3860809803009033, determinant: -0.414375901222229, classification: unstable saddle node, stable: False
I: 0.38999998569488525, A: 0.7825000286102295, B: 0.9886000156402588, trace: -2.550384044647217, determinant: 1.2021071910858154, classification: stable node sink, stable: True
I: 0.4000000059604645, A: 0.0348999984562397, B: 0.9857000112533569, trace: -2.2846779823303223, determinant: 1.169008493423462, classification: stable node sink, stable: True
I: 0.4000000059604645, A: 0.26109999418258667, B: 0.9866999983787537, trace: -1.3859875202178955, determinant: -0.41100308299064636, classification: unstable saddle node, stable: False
I: 0.4000000059604645, A: 0.7832000255584717, B: 0.9886000156402588, trace: -2.555474281311035, determinant: 1.2114437818527222, classification: stable node sink, stable: True
I: 0.4099999964237213, A: 0.03620000183582306, B: 0.9857000112533569, trace: -2.262044906616211, determinant: 1.1342958211898804, classification: stable node sink, stable: True
I: 0.4099999964237213, A: 0.2574999928474426, B: 0.9866999983787537, trace: -1.3860317468643188, determinant: -0.4074118733406067, classification: unstable saddle node, stable: False
I: 0.4099999964237213, A: 0.7838000059127808, B: 0.9886000156402588, trace: -2.560059070587158, determinant: 1.219876766204834, classification: stable node sink, stable: True
I: 0.41999998688697815, A: 0.03759999945759773, B: 0.9857000112533569, trace: -2.238358974456787, determinant: 1.09791898727417, classification: stable node sink, stable: True
I: 0.41999998688697815, A: 0.25380000472068787, B: 0.9866999983787537, trace: -1.3862082958221436, determinant: -0.40351423621177673, classification: unstable saddle node, stable: False
I: 0.41999998688697815, A: 0.784500002861023, B: 0.9886000156402588, trace: -2.565178155899048, determinant: 1.2292749881744385, classification: stable node sink, stable: True
I: 0.4300000071525574, A: 0.03909999877214432, B: 0.9857000112533569, trace: -2.2137503623962402, determinant: 1.0600687265396118, classification: stable node sink, stable: True
I: 0.4300000071525574, A: 0.2500999867916107, B: 0.9866999983787537, trace: -1.3865400552749634, determinant: -0.3993713855743408, classification: unstable saddle node, stable: False
I: 0.4300000071525574, A: 0.785099983215332, B: 0.9886000156402588, trace: -2.5697884559631348, determinant: 1.2377625703811646, classification: stable node sink, stable: True
I: 0.4399999976158142, A: 0.0406000018119812, B: 0.9857000112533569, trace: -2.1899404525756836, determinant: 1.0233887434005737, classification: stable node sink, stable: True
I: 0.4399999976158142, A: 0.24629999697208405, B: 0.9865999817848206, trace: -1.386094093322754, determinant: -0.394685298204422, classification: unstable saddle node, stable: False
I: 0.4399999976158142, A: 0.7857000231742859, B: 0.9886000156402588, trace: -2.5744106769561768, determinant: 1.2462760210037231, classification: stable node sink, stable: True
I: 0.44999998807907104, A: 0.042100001126527786, B: 0.9857000112533569, trace: -2.166897773742676, determinant: 0.9878331422805786, classification: stable node sink, stable: True
I: 0.44999998807907104, A: 0.24250000715255737, B: 0.9865999817848206, trace: -1.3867616653442383, determinant: -0.3899206817150116, classification: unstable saddle node, stable: False
I: 0.44999998807907104, A: 0.786300003528595, B: 0.9886000156402588, trace: -2.5790443420410156, determinant: 1.2548145055770874, classification: stable node sink, stable: True
I: 0.46000000834465027, A: 0.043699998408555984, B: 0.9857000112533569, trace: -2.143099546432495, determinant: 0.9510493278503418, classification: stable node sink, stable: True
I: 0.46000000834465027, A: 0.2386000007390976, B: 0.9865999817848206, trace: -1.3876203298568726, determinant: -0.38475972414016724, classification: unstable saddle node, stable: False
I: 0.46000000834465027, A: 0.786899983882904, B: 0.9886000156402588, trace: -2.5836904048919678, determinant: 1.2633792161941528, classification: stable node sink, stable: True
I: 0.4699999988079071, A: 0.04540000110864639, B: 0.9857000112533569, trace: -2.118664264678955, determinant: 0.9132118225097656, classification: stable node sink, stable: True
I: 0.4699999988079071, A: 0.23469999432563782, B: 0.9865999817848206, trace: -1.3886786699295044, determinant: -0.37928614020347595, classification: unstable saddle node, stable: False
I: 0.4699999988079071, A: 0.7875999808311462, B: 0.9886000156402588, trace: -2.588879346847534, determinant: 1.272928237915039, classification: stable node sink, stable: True
I: 0.47999998927116394, A: 0.0471000000834465, B: 0.9857000112533569, trace: -2.0950980186462402, determinant: 0.8766488432884216, classification: stable node sink, stable: True
I: 0.47999998927116394, A: 0.23070000112056732, B: 0.9865999817848206, trace: -1.3899643421173096, determinant: -0.37336111068725586, classification: unstable saddle node, stable: False
I: 0.47999998927116394, A: 0.7882000207901001, B: 0.9886000156402588, trace: -2.5935513973236084, determinant: 1.2815489768981934, classification: stable node sink, stable: True
I: 0.49000000953674316, A: 0.048900000751018524, B: 0.9857000112533569, trace: -2.071023464202881, determinant: 0.8392208218574524, classification: stable node sink, stable: True
I: 0.49000000953674316, A: 0.22669999301433563, B: 0.9865999817848206, trace: -1.3914775848388672, determinant: -0.3670817017555237, classification: unstable saddle node, stable: False
I: 0.49000000953674316, A: 0.7888000011444092, B: 0.9886000156402588, trace: -2.5982351303100586, determinant: 1.2901952266693115, classification: stable node sink, stable: True
I: 0.5, A: 0.05079999938607216, B: 0.9857000112533569, trace: -2.0465505123138428, determinant: 0.80109041929245, classification: stable node sink, stable: True
I: 0.5, A: 0.2224999964237213, B: 0.9865000247955322, trace: -1.392356276512146, determinant: -0.3599700331687927, classification: unstable saddle node, stable: False
I: 0.5, A: 0.7893000245094299, B: 0.9886000156402588, trace: -2.6023948192596436, determinant: 1.2978978157043457, classification: stable node sink, stable: True
I: 0.5099999904632568, A: 0.052799999713897705, B: 0.9857000112533569, trace: -2.0217857360839844, determinant: 0.7624137997627258, classification: stable node sink, stable: True
I: 0.5099999904632568, A: 0.218299999833107, B: 0.9865000247955322, trace: -1.394444227218628, determinant: -0.3526093363761902, classification: unstable saddle node, stable: False
I: 0.5099999904632568, A: 0.789900004863739, B: 0.9886000156402588, trace: -2.6071014404296875, determinant: 1.3065929412841797, classification: stable node sink, stable: True
I: 0.5199999809265137, A: 0.05490000173449516, B: 0.98580002784729, trace: -1.997815489768982, determinant: 0.7239172458648682, classification: stable node sink, stable: True
I: 0.5199999809265137, A: 0.21400000154972076, B: 0.9865000247955322, trace: -1.3968641757965088, determinant: -0.3446376919746399, classification: unstable saddle node, stable: False
I: 0.5199999809265137, A: 0.7904999852180481, B: 0.9886999726295471, trace: -2.612844228744507, determinant: 1.3160032033920288, classification: stable node sink, stable: True
I: 0.5299999713897705, A: 0.05719999969005585, B: 0.98580002784729, trace: -1.971634030342102, determinant: 0.6827850341796875, classification: stable node sink, stable: True
I: 0.5299999713897705, A: 0.2094999998807907, B: 0.9865000247955322, trace: -1.3997066020965576, determinant: -0.335819274187088, classification: unstable saddle node, stable: False
I: 0.5299999713897705, A: 0.791100025177002, B: 0.9886999726295471, trace: -2.6175754070281982, determinant: 1.3247559070587158, classification: stable node sink, stable: True
I: 0.5400000214576721, A: 0.05950000137090683, B: 0.98580002784729, trace: -1.9466395378112793, determinant: 0.6433978080749512, classification: stable node sink, stable: True
I: 0.5400000214576721, A: 0.20499999821186066, B: 0.9865000247955322, trace: -1.402911901473999, determinant: -0.326442152261734, classification: unstable saddle node, stable: False
I: 0.5400000214576721, A: 0.791700005531311, B: 0.9886999726295471, trace: -2.6223185062408447, determinant: 1.3335343599319458, classification: stable node sink, stable: True
I: 0.550000011920929, A: 0.06199999898672104, B: 0.98580002784729, trace: -1.9207017421722412, determinant: 0.6023920774459839, classification: stable node sink, stable: True
I: 0.550000011920929, A: 0.20020000636577606, B: 0.9864000082015991, trace: -1.405777931213379, determinant: -0.31571507453918457, classification: unstable saddle node, stable: False
I: 0.550000011920929, A: 0.7922000288963318, B: 0.9886999726295471, trace: -2.6265296936035156, determinant: 1.3413519859313965, classification: stable node sink, stable: True
I: 0.5600000023841858, A: 0.06469999998807907, B: 0.98580002784729, trace: -1.8940536975860596, determinant: 0.5601115226745605, classification: stable node sink, stable: True
I: 0.5600000023841858, A: 0.19529999792575836, B: 0.9864000082015991, trace: -1.4101213216781616, determinant: -0.3042064607143402, classification: unstable saddle node, stable: False
I: 0.5600000023841858, A: 0.7928000092506409, B: 0.9886999726295471, trace: -2.631295680999756, determinant: 1.3501801490783691, classification: stable node sink, stable: True
I: 0.5699999928474426, A: 0.06759999692440033, B: 0.98580002784729, trace: -1.8669214248657227, determinant: 0.5168899297714233, classification: stable node sink, stable: True
I: 0.5699999928474426, A: 0.19020000100135803, B: 0.9864000082015991, trace: -1.4151593446731567, determinant: -0.29143887758255005, classification: unstable saddle node, stable: False
I: 0.5699999928474426, A: 0.19030000269412994, B: 0.9864000082015991, trace: -1.4150663614273071, determinant: -0.29167938232421875, classification: unstable saddle node, stable: False
I: 0.5699999928474426, A: 0.79339998960495, B: 0.9886999726295471, trace: -2.6360740661621094, determinant: 1.3590348958969116, classification: stable node sink, stable: True
I: 0.5799999833106995, A: 0.07069999724626541, B: 0.98580002784729, trace: -1.8395211696624756, determinant: 0.47304609417915344, classification: stable node sink, stable: True
I: 0.5799999833106995, A: 0.18490000069141388, B: 0.9864000082015991, trace: -1.420994758605957, determinant: -0.2772567868232727, classification: unstable saddle node, stable: False
I: 0.5799999833106995, A: 0.7939000129699707, B: 0.9886999726295471, trace: -2.640315532684326, determinant: 1.3669179677963257, classification: stable node sink, stable: True
I: 0.5899999737739563, A: 0.07419999688863754, B: 0.9858999848365784, trace: -1.8113807439804077, determinant: 0.42660775780677795, classification: stable node sink, stable: True
I: 0.5899999737739563, A: 0.179299995303154, B: 0.986299991607666, trace: -1.4269299507141113, determinant: -0.2610986530780792, classification: unstable saddle node, stable: False
